"","gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"22164","TBC1D3F","ENSG00000275954.5",15.4692514486954,21.370366120606,2.89554479490264,7.38043015539829,1.57778930963561e-13,3.86905494508845e-09
"24085","XGY2","ENSG00000288686.2",1.69815994135204,-22.871557592626,3.61750198574881,-6.32247271258694,2.57410490904043e-10,3.15611002897447e-06
"24093","F8A2","ENSG00000288709.1",36.985344235793,23.7503736036232,4.01365873961726,5.91738738752066,3.27095665629886e-09,2.67367997085869e-05
"18931","ENSG00000254732","ENSG00000254732.2",15.4111369583738,-6.57204239946478,1.12507522423507,-5.84142487355283,5.17562179865801e-09,3.17291494366729e-05
"23288","ENSG00000284554","ENSG00000284554.2",17.5186486923778,23.0952174541981,4.01393142248144,5.75376483136836,8.72775480953905e-09,4.28044006879033e-05
"23411","ENSG00000285505","ENSG00000285505.1",11.3317829558188,22.0641038896039,4.01496840110512,5.49546140475994,3.89690167625471e-08,0.00015926637150853
"6978","ENSG00000142539","ENSG00000142539.9",6.08333060030446,21.5149392909591,4.01713289379939,5.35579475704384,8.51811583736711e-08,0.000250113147698188
"19546","ENSG00000259132","ENSG00000259132.1",5.82704605637679,-21.5483540654935,4.01715216771926,-5.36408708603329,8.13596462868965e-08,0.000250113147698188
"21018","ENSG00000269693","ENSG00000269693.1",13.3238306817412,-21.4606149831805,4.01714311350791,-5.34225801192338,9.17958702097582e-08,0.000250113147698188
"24618","ENSG00000289694","ENSG00000289694.1",626.783557611801,-11.1848870240922,2.10327098620475,-5.31785352313292,1.04998540717277e-07,0.000257477421546907
"14447","RNVU1-18","ENSG00000206737.1",157.550723082258,-9.13398596867968,1.77990253924833,-5.13173377039904,2.87085376086745e-07,0.000639991599309015
"11246","CD248","ENSG00000174807.4",163.387882666332,1.58038651017689,0.314713668846405,5.02166466416872,5.12255606998933e-07,0.00104679433290232
"14409","DEFA1","ENSG00000206047.3",1149.47115747822,-12.5763577418542,2.53034367482725,-4.97021723450781,6.68779291249725e-07,0.00126152352154044
"15438","ENSG00000224610","ENSG00000224610.2",22.2295530409467,2.67288530504497,0.545795607370193,4.89722758657537,9.71982426058703e-07,0.00170249664655797
"2315","KLHL4","ENSG00000102271.14",3.14641739164725,-4.27138126450139,0.881535910570444,-4.84538543839623,1.26366111895324e-06,0.00206583319726476
"14476","IGKV6-21","ENSG00000211611.2",9.17658832727667,3.93059209720797,0.817568174961293,4.80766279508624,1.52705055784276e-06,0.00234039586121376
"12731","KCNQ5","ENSG00000185760.18",232.686874842509,1.39386761673033,0.293762448732457,4.74488016676287,2.08629806601966e-06,0.00287242926404207
"14459","RNU1-3","ENSG00000207513.1",114.179362444648,-12.818387191549,2.70273846879884,-4.74274049802748,2.10846288038321e-06,0.00287242926404207
"4065","PIK3R3","ENSG00000117461.15",124.746812265645,-0.991118363306801,0.2148958406167,-4.61208723473906,3.98645615412566e-06,0.00514504620060366
"12890","FSCN2","ENSG00000186765.12",36.1633984938215,1.4414098607458,0.31500056057448,4.57589617655613,4.74185681354227e-06,0.00581399063908418
"5710","BEX1","ENSG00000133169.6",5.86858298597819,-5.34372104418136,1.20673222598807,-4.42825751156677,9.49974415338991e-06,0.0105887602786103
"17981","TIPARP-AS1","ENSG00000243926.3",6.68142856445726,-2.83106821131561,0.638659110277714,-4.43283148358215,9.30035565993894e-06,0.0105887602786103
"11313","VWA3A","ENSG00000175267.15",4.33124078513257,-4.44594324775715,1.01787424013167,-4.36787087487551,1.25463629458516e-05,0.0128192463399239
"11423","ZNF683","ENSG00000176083.18",211.186445733516,-1.59753671072048,0.365595036712767,-4.36968927446244,1.24423454834123e-05,0.0128192463399239
"11671","ODF3","ENSG00000177947.15",3.26174662393028,5.20442266082107,1.19875404271383,4.34152668135233,1.4149609187644e-05,0.0138790686599763
"11011","LRRN3","ENSG00000173114.13",336.085674229454,1.51705429862419,0.352728534127899,4.30091175463028,1.70096792306858e-05,0.0160427443882645
"10930","SNTG2","ENSG00000172554.12",24.0314182280557,1.90504876534402,0.445599712404187,4.2752468466946,1.90925635765721e-05,0.0167209944294537
"17033","PVRIG2P","ENSG00000235333.3",6.60435953728403,17.3884594993347,4.06454622959981,4.27808136925698,1.88511116088466e-05,0.0167209944294537
"7230","SLC4A10","ENSG00000144290.17",252.490354121266,1.89805449742893,0.453743090292909,4.1831039150451,2.87555871682083e-05,0.0227465970496388
"10717","TMEM37","ENSG00000171227.7",4.3026727104755,5.12918239858624,1.22428379919003,4.1895371007765,2.79524079557677e-05,0.0227465970496388
"21671","ENSG00000273026","ENSG00000273026.1",3.94316954237396,-3.1484049241128,0.751971987195115,-4.18686464087109,2.82834383582773e-05,0.0227465970496388
"11361","FOSL1","ENSG00000175592.9",6.46158014210098,-3.41800495639646,0.820934841460984,-4.16355206743762,3.13334531596257e-05,0.0240112168243857
"12261","VMO1","ENSG00000182853.12",18.8318437922854,-2.50699155673263,0.603641029241497,-4.15311656313816,3.27977564749114e-05,0.0243717146750842
"859","MPPED2","ENSG00000066382.17",36.8559292928371,2.09124415077406,0.511686871166031,4.08696073442051,4.3706105483921e-05,0.0315223858434327
"19938","CDR2-DT","ENSG00000260790.1",3.08898463227111,4.19243410279355,1.0323097454233,4.06121720867261,4.88175256926881e-05,0.0332528712510027
"20542","CBX3P2","ENSG00000266405.3",38.4578971847685,-1.15036446806903,0.283056179438674,-4.06408533581676,4.82211826397799e-05,0.0332528712510027
"1150","GRAMD4","ENSG00000075240.17",1491.39264411375,-0.581803072416278,0.144506677811558,-4.02613277965583,5.67016785595945e-05,0.037579420584821
"2803","STEAP1B","ENSG00000105889.16",53.3949518470413,1.61993203733053,0.403860227582086,4.01112049836913,6.04312553463059e-05,0.0379973139385157
"20458","ENSG00000265337","ENSG00000265337.1",2.84726874240966,-4.34401997476461,1.08268544289335,-4.01226413754645,6.01391548701057e-05,0.0379973139385157
"9022","IL23R","ENSG00000162594.16",42.7847227820207,1.80747715261904,0.456929299941971,3.95570420379824,7.63095332747656e-05,0.0458915841957096
"18293","ENSG00000248664","ENSG00000248664.2",2.54140105004676,-4.01246361797255,1.01468513934939,-3.95439280853695,7.67292615620297e-05,0.0458915841957096
"14446","RNU1-1","ENSG00000206652.1",140.863954165193,-9.08222289812276,2.3042621686481,-3.94148852578318,8.09775094015338e-05,0.0472792972748669
"11619","GIMAP3P","ENSG00000177590.7",13.0541885171075,-3.91676135573986,0.999154848919021,-3.92007441086572,8.85216321992106e-05,0.0482464658707348
"13805","ZNF69","ENSG00000198429.10",152.13068455944,0.80303660861324,0.204854497862927,3.92003405827375,8.85364555983633e-05,0.0482464658707348
"15454","IMPDH1P8","ENSG00000224728.1",20.8504172414866,1.25435646753654,0.319964626258045,3.9202973222575,8.84397886336517e-05,0.0482464658707348
"15832","ENSG00000227080","ENSG00000227080.2",8.63815232392297,4.40490463275616,1.13046577697868,3.89653957020163,9.75768711424395e-05,0.0517933754702057
"23081","LINC01395","ENSG00000281097.1",4.88235742331535,-3.26266594590026,0.838220855344754,-3.89237028057283,9.92695802585297e-05,0.0517933754702057
"14677","PDCL3P5","ENSG00000213089.4",17.0918230224973,1.75428273995616,0.454409972349058,3.86057271341878,0.000113121570372858,0.0577909822642336
"5436","GFAP","ENSG00000131095.14",4.61379225488789,-3.82508465995544,0.997475982569328,-3.83476367030179,0.000125685081910842,0.0628989709921973
"4472","PDS5A","ENSG00000121892.15",4127.26060984426,0.303049764965449,0.0792192723300746,3.82545504461039,0.000130530753731158,0.0640175028599093
"21714","ENSG00000273162","ENSG00000273162.1",2.65841575984918,-3.31585233783529,0.873024682153789,-3.79811980762668,0.00014579785118334,0.0701030373866248
"8799","BRSK1","ENSG00000160469.17",35.0026234427827,-1.69812437190385,0.447996590693008,-3.79048503310487,0.000150353392850419,0.0709031903745765
"2881","MEST","ENSG00000106484.16",102.752688248917,0.913818588216504,0.241610001927224,3.78220512779829,0.000155445180716667,0.0709932338038592
"8619","CACHD1","ENSG00000158966.16",88.6205963279493,1.54191038468584,0.407828081635779,3.7807852232767,0.00015633450066913,0.0709932338038592
"9465","EBF1","ENSG00000164330.17",350.487643232104,1.39457720291693,0.370047542547263,3.76864332976568,0.000164137226341792,0.0731813284427895
"9217","AZI2","ENSG00000163512.14",722.523765072892,-0.516115669968305,0.137534815890611,-3.75261832159501,0.000174997189838345,0.0766300194502837
"7973","MGAT5","ENSG00000152127.9",3614.17904653789,0.375104906864398,0.100164208996422,3.74489960658301,0.000180465924931732,0.0776383405469463
"14437","COLQ","ENSG00000206561.14",558.586498698979,0.541467826228039,0.145590912443875,3.71910455906218,0.00019993028390225,0.0845291452043271
"7081","RORC","ENSG00000143365.19",348.595209263695,1.15238303601598,0.31028064402847,3.71400233367518,0.000204006910610852,0.0847908044406661
"3515","CCR6","ENSG00000112486.18",520.115318261708,0.913960600782269,0.246648770115727,3.70551452720986,0.000210962037222186,0.0862201846127073
"14303","CCNI2","ENSG00000205089.8",84.653334149727,1.28613499592094,0.348092521909982,3.69480788861515,0.000220053102002614,0.0884613470050509
"8672","TCHH","ENSG00000159450.13",2.60371192403706,4.25998856608061,1.15776400287637,3.67949647380383,0.000233694920537322,0.0921336685258672
"10540","RNF150","ENSG00000170153.11",4.67071555164399,-4.42008811093972,1.20234140227176,-3.67623380729316,0.000236702598365942,0.0921336685258672
"7952","CCDC175","ENSG00000151838.12",3.67429764629017,-4.60749582126895,1.25742448400841,-3.66423262777674,0.000248081236680009,0.0935915090133411
"14410","DOK6","ENSG00000206052.11",35.9106614379483,-4.65793062418487,1.27070837784948,-3.6656173087234,0.000246742673001046,0.0935915090133411
"118","ETV1","ENSG00000006468.14",5.16417250708946,-3.2929848679231,0.907337307614369,-3.62928410447624,0.000284208313775414,0.104921640899205
"21788","ENSG00000273374","ENSG00000273374.1",19.2977039268806,1.54409896451066,0.425716881450995,3.62705598905972,0.000286671149997828,0.104921640899205
"11952","PLD5","ENSG00000180287.17",4.47263664012107,4.52786975299218,1.25395720152787,3.61086466705182,0.000305177881869384,0.107045560481326
"12945","MT1X","ENSG00000187193.9",144.405495555783,-0.87410866711852,0.241666641543446,-3.61700175719691,0.000298035281307652,0.107045560481326
"21178","IGHV1OR15-1","ENSG00000270505.1",8.25177440060849,-5.68559874605114,1.57472621125499,-3.61053159934383,0.000305570069068298,0.107045560481326
"14895","ANG","ENSG00000214274.10",48.0810983488712,-1.25184692118282,0.348536128832597,-3.59172785150225,0.000328492794409734,0.113454933866416
"15883","MROCKI","ENSG00000227502.4",6.5060579659968,-3.69948040547358,1.03297173528667,-3.58139557850236,0.000341763732332577,0.11639903117027
"15737","ENSG00000226410","ENSG00000226410.1",1.70188521682121,-3.28430870239732,0.918993567894984,-3.57381032592018,0.000351823828092156,0.1178994113488
