"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000254732.2",15.4111369583738,-6.56851166959973,1.12003508388702,-5.86455885542807,4.50328345520369e-09,6.63378685786056e-05
"ENSG00000288686.2",1.69815994135204,-23.954190662949,4.03897832994669,-5.93075493506428,3.01544993848581e-09,6.63378685786056e-05
"ENSG00000288709.1",36.985344235793,22.999674266837,4.01365688441075,5.73035387159499,1.00221333222069e-08,9.84240306462867e-05
"ENSG00000259132.1",5.82704605637679,-22.3956835054853,4.01715421928471,-5.57501213121785,2.47512617022778e-08,0.000145844334454502
"ENSG00000275954.5",15.4692514486954,16.2037659137482,2.89554483738238,5.596102572667,2.19224031935472e-08,0.000145844334454502
"ENSG00000269693.1",13.3238306817412,-21.9354227048505,4.01714528945785,-5.46045042543404,4.74928097110399e-08,0.000233205526617776
"ENSG00000142539.9",6.08333060030446,21.5226249050579,4.017130454522,5.35771121916898,8.42828096937864e-08,0.000275904459910926
"ENSG00000284554.2",17.5186486923778,21.6518110326223,4.01392910830465,5.39416876791013,6.88414912437688e-08,0.000275904459910926
"ENSG00000285952.1",0.281696907742183,-21.7274802372578,4.04022537370991,-5.37778916459472,7.54060443558778e-08,0.000275904459910926
"ENSG00000285505.1",11.3317829558188,21.3362633886674,4.01496600498567,5.31418282550156,1.07137012874834e-07,0.000286951879392578
"ENSG00000289694.1",626.783557611801,-11.1850813444748,2.10327226439554,-5.31794268094404,1.04947116610768e-07,0.000286951879392578
"ENSG00000206737.1",157.550723082258,-9.13398001122697,1.77990346594499,-5.13172775152586,2.87094558490029e-07,0.000704864990186103
"ENSG00000174807.4",163.387882666332,1.58038997252089,0.314397558143902,5.02672470438696,4.9892778957462e-07,0.00113072388741903
"ENSG00000206047.3",1149.47115747822,-12.5763907119922,2.53035450943784,-4.97020898260862,6.68807755627746e-07,0.00140745814973605
"ENSG00000224610.2",22.2295530409467,2.67274167907854,0.543379260491109,4.91874069073395,8.71027667603056e-07,0.00171081447619475
"ENSG00000102271.14",3.14641739164725,-4.2534676530003,0.872923484204649,-4.87266951796558,1.10100313461628e-06,0.00202735964700404
"ENSG00000211611.2",9.17658832727667,3.93129778922631,0.81315414087188,4.83462801408241,1.33394840491819e-06,0.00231181105327645
"ENSG00000185760.18",232.686874842509,1.39386953893449,0.293664481378845,4.74646961862684,2.06997799674424e-06,0.00329392393578968
"ENSG00000207513.1",114.179362444648,-12.8143161931146,2.70274091943209,-4.7412299495607,2.12424664924323e-06,0.00329392393578968
"ENSG00000117461.15",124.746812265645,-0.991140776132959,0.214386664570433,-4.62314565189448,3.77964133173822e-06,0.00556778964578357
"ENSG00000186765.12",36.1633984938215,1.4415533647659,0.313316853920287,4.60094420944447,4.20580075919464e-06,0.00590053818892346
"ENSG00000243926.3",6.68142856445726,-2.82654872533853,0.631793286644724,-4.4738505221376,7.6823456564902e-06,0.0102880576241597
"ENSG00000133169.6",5.86858298597819,-5.33908346957803,1.19836330072245,-4.45531289748217,8.37709267731287e-06,0.010730691498217
"ENSG00000175267.15",4.33124078513257,-4.43762941911825,1.01046040065598,-4.39169057613479,1.12472688854271e-05,0.0138069598292688
"ENSG00000176083.18",211.186445733516,-1.59753516810822,0.365488013137496,-4.37096460262634,1.23698847225406e-05,0.0140169824498266
"ENSG00000177947.15",3.26174662393028,5.20477564645602,1.18949172837561,4.37562996218878,1.21082273286174e-05,0.0140169824498266
"ENSG00000173114.13",336.085674229454,1.51705535815267,0.352897065092431,4.29886079600951,1.71678252191394e-05,0.0187332765409735
"ENSG00000172554.12",24.0314182280557,1.90471219835275,0.443990220644606,4.28998682805986,1.78683715735018e-05,0.0188013558320896
"ENSG00000171227.7",4.3026727104755,5.12937891321214,1.21587789253756,4.21866286466238,2.4575542099809e-05,0.0248128926656826
"ENSG00000273026.1",3.94316954237396,-3.1310986904482,0.743303334986128,-4.2124103889654,2.5265996197491e-05,0.0248128926656826
"ENSG00000144290.17",252.490354121266,1.8980555522976,0.453832199577332,4.18228489310658,2.88594020176677e-05,0.0264737744369154
"ENSG00000175592.9",6.46158014210098,-3.41110387618699,0.815110365295432,-4.18483682875344,2.85371012750211e-05,0.0264737744369154
"ENSG00000182853.12",18.8318437922854,-2.50679834007425,0.600270354143669,-4.17611551656651,2.96529277176773e-05,0.0264737744369154
"ENSG00000066382.17",36.8559292928371,2.09127843018908,0.509687328575143,4.10306145148901,4.07718899724344e-05,0.0353300418343489
"ENSG00000260790.1",3.08898463227111,4.1942155071315,1.02515771337003,4.0912880549313,4.28983892149698e-05,0.0357880806949504
"ENSG00000266405.3",38.4578971847685,-1.15012720799576,0.281422519906287,-4.08683430302147,4.37299200671446e-05,0.0357880806949504
"ENSG00000265337.1",2.84726874240966,-4.33633952138356,1.07247414859207,-4.04330447225813,5.27031089907572e-05,0.0419659188401538
"ENSG00000105889.16",53.3949518470413,1.61995043292188,0.402177435881657,4.02794957745606,5.62654063108236e-05,0.0436234579139338
"ENSG00000075240.17",1491.39264411375,-0.581805196551722,0.144717170731666,-4.02029139742169,5.81261989873563e-05,0.0439106172965511
