"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000288686.2",2.13777629220432,-22.354087545352,3.1990160576297,-6.98780098087884,2.79228094632055e-12,8.21042289456094e-08
"ENSG00000142539.9",7.66473038210948,22.9764126532664,3.74656513157777,6.13266067620462,8.64213513990749e-10,1.2705667082692e-05
"ENSG00000288709.1",32.3304399889465,22.539385100771,3.74194686328442,6.02343804555991,1.70750488693409e-09,1.67358245651367e-05
"ENSG00000285505.1",13.4797081181154,21.979101679011,3.74678884683004,5.86611698110671,4.46119106259366e-09,3.2794215501126e-05
"ENSG00000267793.1",1.35739466442252,-21.5231261386025,3.74513868747324,-5.74695036277114,9.08673900646198e-09,5.34372947492016e-05
"ENSG00000273513.1",8.82450990279626,21.616450438442,3.80481463226456,5.6813412814217,1.33642500563403e-08,6.54937347761048e-05
"ENSG00000277438.1",0.739521426806819,-20.8276084569713,3.77602350713439,-5.51575180017278,3.4729210508381e-08,0.000145882529398348
"ENSG00000206737.1",173.343654049837,-8.9869525208669,1.65319718250274,-5.43610442600789,5.44580462856969e-08,0.000200160549123079
"ENSG00000260287.4",21.8004660543949,20.1613462692145,3.80480984738049,5.29891034714785,1.16495814157748e-07,0.000380604768832714
"ENSG00000176083.18",232.165490360261,-1.78736825708988,0.342641386870751,-5.21644006117714,1.82394559543395e-07,0.000487557238983091
"ENSG00000232634.1",0.374809962666919,-19.7576543993318,3.77908209240399,-5.22816226698145,1.71203223948734e-07,0.000487557238983091
"ENSG00000172554.12",25.0478615198092,2.11538509723315,0.41858448309355,5.05366343634955,4.33415094990015e-07,0.00106201145442387
"ENSG00000174807.4",166.102612598767,1.67798688344402,0.33748658949228,4.97201055001448,6.62620984492276e-07,0.00142180761792129
"ENSG00000254732.2",15.428789666196,-6.50315558235992,1.30904574390929,-4.96785968910384,6.76959143344378e-07,0.00142180761792129
"ENSG00000207513.1",134.301908908849,-12.1010909238346,2.52641121421612,-4.78983423432484,1.66919148049625e-06,0.00327206041950078
"ENSG00000066382.17",37.6500833124981,2.30998278243252,0.494557282616989,4.67080935540786,3.00015286607847e-06,0.00551353092963571
"ENSG00000224610.2",20.2587112311796,2.78509333462885,0.606645167162272,4.59097588736557,4.41178309320579e-06,0.00763082765133077
"ENSG00000117461.15",126.055628299234,-1.036555916893,0.232430496669268,-4.459638178926,8.20981301458504e-06,0.0123338476748114
"ENSG00000173114.13",329.798325241815,1.64594572204002,0.369777625390781,4.45117716438517,8.54008475177402e-06,0.0123338476748114
"ENSG00000226863.1",0.354612965612883,-16.7565491063685,3.77866903748144,-4.43451091909787,9.22815429349243e-06,0.0123338476748114
"ENSG00000285952.1",0.354612965612883,-16.7565491063685,3.77866903748144,-4.43451091909787,9.22815429349243e-06,0.0123338476748114
"ENSG00000289694.1",604.743863416332,-11.2412320140593,2.52235721069822,-4.45663761119211,8.32551653442016e-06,0.0123338476748114
"ENSG00000177947.15",3.40991181433834,5.4041939068377,1.22681508075317,4.40505989176456,1.05754655229191e-05,0.0135200429667789
"ENSG00000144290.17",242.563658143057,2.07189846927375,0.478253765138643,4.33221569865345,1.47616214461245e-05,0.0180854465417435
"ENSG00000113356.13",23.3106962234532,-1.5717130513704,0.364229465740318,-4.3151727117294,1.59478168753612e-05,0.0187571842961248
"ENSG00000266405.3",38.579914743063,-1.33454872093345,0.310061028036058,-4.30414853935868,1.6762917187056e-05,0.0189575698833921
"ENSG00000229308.1",0.106383889683865,-16.0918270603701,3.78273180056758,-4.25402272980485,2.0996397435711e-05,0.0220492167928446
"ENSG00000273088.2",0.141845186245153,-16.0935956881027,3.78128771591896,-4.25611508490871,2.08009665291233e-05,0.0220492167928446
"ENSG00000165091.18",4.11607555594186,-5.23897161217388,1.2401177261083,-4.22457602361242,2.393910311973e-05,0.0241841687658884
"ENSG00000206047.3",1075.94171373439,-12.5740820164029,2.98122430573425,-4.217757782337,2.46743661738761e-05,0.0241841687658884
"ENSG00000102271.14",3.21069995053287,-4.24601515050942,1.01735785327883,-4.1735709188512,2.9986226142878e-05,0.0284424191453285
"ENSG00000273162.1",3.00502372214908,-3.96826310937326,0.955526574408156,-4.15295944210778,3.28202925648159e-05,0.0301577463304952
