"","gene_name","Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"24085","XGY2","ENSG00000288686.2",2.13777629220432,-22.2614924272385,3.32597776380293,-6.69321745608566,2.1831634130103e-11,5.34089097358841e-07
"6978","ENSG00000142539","ENSG00000142539.9",7.66473038210948,22.9764127182902,3.74656513157674,6.13266069356189,8.6421341966802e-10,1.05710585493792e-05
"24093","F8A2","ENSG00000288709.1",32.3304399889465,22.5393830710983,3.74194686326927,6.02343750317344,1.70751061167155e-09,1.39241798679776e-05
"23411","ENSG00000285505","ENSG00000285505.1",13.4797081181154,21.9791017170774,3.74678884682947,5.86611699126736,4.46119078935871e-09,2.72846428677179e-05
"20827","ENSG00000267793","ENSG00000267793.1",1.35739466442252,-21.523126290392,3.74513868747356,-5.74695040330036,9.08673682929793e-09,4.44595859583889e-05
"21827","TBC1D3K","ENSG00000273513.1",8.82450990279626,21.6164482132123,3.80481463226467,5.68134069657579,1.33642957632693e-08,5.44906885921035e-05
"14447","RNVU1-18","ENSG00000206737.1",173.343654049837,-8.98695252086691,1.65319718250274,-5.43610442600789,5.44580462856966e-08,0.000190323092047612
"19820","TBC1D3G","ENSG00000260287.4",21.8004660543949,20.1650718684181,3.80480984735215,5.29988952863213,1.15872769972882e-07,0.000354338930577072
"11423","ZNF683","ENSG00000176083.18",232.165490360261,-1.78736955693776,0.343035856516051,-5.21044527266242,1.88387946557076e-07,0.000512080302730256
"10930","SNTG2","ENSG00000172554.12",25.0478615198092,2.11590416504792,0.420902440593097,5.02706556432978,4.98042111404975e-07,0.00121841022134113
"11246","CD248","ENSG00000174807.4",166.102612598767,1.67797745502635,0.338087891479592,4.96313975541369,6.93626334219238e-07,0.00154262496730359
"18931","ENSG00000254732","ENSG00000254732.2",15.428789666196,-6.50759643642773,1.31758866738784,-4.93901973924019,7.85162651916258e-07,0.00160068492637328
"14459","RNU1-3","ENSG00000207513.1",134.301908908849,-12.1010909240178,2.52641121421802,-4.78983423439377,1.66919147992285e-06,0.00314116156652559
"859","MPPED2","ENSG00000066382.17",37.6500833124981,2.30988053774011,0.497109531057442,4.64662291392114,3.37413123995651e-06,0.00589605333244972
"15438","ENSG00000224610","ENSG00000224610.2",20.2587112311796,2.78521108790046,0.609966090645108,4.5661736457428,4.96707360085129e-06,0.0081009659047484
"4065","PIK3R3","ENSG00000117461.15",126.055628299234,-1.03652860103693,0.232904751419342,-4.45043991039355,8.56945694728543e-06,0.0117675581183112
"11011","LRRN3","ENSG00000173114.13",329.798325241815,1.64594636076203,0.370023168760605,4.44822513756405,8.65827526690656e-06,0.0117675581183112
"24618","ENSG00000289694","ENSG00000289694.1",604.743863416332,-11.2412987169354,2.5223572103787,-4.45666405641558,8.32449001779388e-06,0.0117675581183112
"11671","ODF3","ENSG00000177947.15",3.40991181433834,5.40355435664111,1.23703926126416,4.36813488936405,1.2531209266375e-05,0.0161349212364525
"7230","SLC4A10","ENSG00000144290.17",242.563658143057,2.07189494245639,0.47891205643229,4.32625346267372,1.5166689477816e-05,0.0185518945692646
"3594","POLR3G","ENSG00000113356.13",23.3106962234532,-1.57211166551405,0.366457294038512,-4.29002694471906,1.78651441760362e-05,0.0205612771069135
"20542","CBX3P2","ENSG00000266405.3",38.579914743063,-1.3347788653365,0.31169078501354,-4.28238154451219,1.84903571105337e-05,0.0205612771069135
"14409","DEFA1","ENSG00000206047.3",1075.94171373439,-12.5740820164613,2.98122430582653,-4.21775778222604,2.46743661860149e-05,0.0262449432336813
"9604","TMC1","ENSG00000165091.18",4.11607555594186,-5.24608431706897,1.25187025523824,-4.19059746416822,2.78220870731582e-05,0.0283599807565726
"2315","KLHL4","ENSG00000102271.14",3.21069995053287,-4.25836399284124,1.02559709013673,-4.15208275627376,3.29463071186728e-05,0.0322399382940484
"21714","ENSG00000273162","ENSG00000273162.1",3.00502372214908,-3.98098140516683,0.962968675312418,-4.13407155105567,3.56392439026028e-05,0.033533787032049
"12731","KCNQ5","ENSG00000185760.18",219.259528661304,1.29950112829391,0.317270552718024,4.09587690115335,4.20573377078154e-05,0.0381070633216295
"15585","ENSG00000225544","ENSG00000225544.1",21.8158855902081,4.70966537319795,1.16226184000125,4.05215521245445,5.07479787817214e-05,0.0443392340327154
"12890","FSCN2","ENSG00000186765.12",35.2520732835992,1.44530863478086,0.358040028438514,4.03672360625194,5.42028631545881e-05,0.0457247877315118
"16925","MED14OS","ENSG00000234636.2",3.0626316880715,-3.97186674459229,0.988657079170813,-4.01743620540652,5.88347558553209e-05,0.0479777822414857
"15832","ENSG00000227080","ENSG00000227080.2",8.73781067465012,4.27278096205835,1.07359316712616,3.97988837195742,6.89476358445363e-05,0.052710467603148
"10717","TMEM37","ENSG00000171227.7",4.38583259824884,5.11671476456118,1.28847743401097,3.97113261707122,7.15317442969623e-05,0.0530288664388147
"8619","CACHD1","ENSG00000158966.16",89.9323866123466,1.62506408246481,0.41249006661928,3.93964416109131,8.16025549900532e-05,0.0539547271696395
"14446","RNU1-1","ENSG00000206652.1",139.716132090311,-8.96915274123774,2.26622183022066,-3.95775586556962,7.56572261005786e-05,0.0539547271696395
"23094","ENSG00000281348","ENSG00000281348.1",9.21679179359027,-4.45386376183957,1.1298279971755,-3.94207239772243,8.07805831688602e-05,0.0539547271696395
"5710","BEX1","ENSG00000133169.6",6.23997127712193,-5.23941710942044,1.33326397276844,-3.92976726022314,8.5028122179252e-05,0.0547402100261374
"571","ADAMTS6","ENSG00000049192.15",77.4551802064599,1.14431702111252,0.293620300976084,3.89726806119489,9.72839188334635e-05,0.0610244561626116
"16084","ENSG00000228897","ENSG00000228897.1",5.20642031583651,-5.79184102731872,1.50298509503317,-3.85355852593529,0.000116413420176733,0.0711984477800901
"21671","ENSG00000273026","ENSG00000273026.1",3.96877003938488,-3.47855261247439,0.908685846210575,-3.82811356309855,0.000129129176917081,0.0734654926534758
"6330","FGFBP2","ENSG00000137441.8",724.275496270723,-1.27357917204429,0.333792559128955,-3.81548101421957,0.000135917906777964,0.074774464455136
"11619","GIMAP3P","ENSG00000177590.7",13.5801935165074,-3.57769021740926,0.938399375339647,-3.81254539530606,0.000137542957017704,0.074774464455136
"5436","GFAP","ENSG00000131095.14",5.09367800597046,-4.07092377274906,1.07844209413464,-3.77481906065216,0.000160123845144001,0.0833461648426138
"15454","IMPDH1P8","ENSG00000224728.1",21.8375806732742,1.3393985460866,0.354416412291473,3.77916625651375,0.000157354340132002,0.0833461648426138
"12261","VMO1","ENSG00000182853.12",21.605621524859,-2.24360362224827,0.597143919248886,-3.75722426357514,0.00017180851393449,0.0875650726019452
"3220","B3GAT1","ENSG00000109956.13",518.966462512942,-1.30537485856741,0.350157022428634,-3.72796995334703,0.000193028384694862,0.0958290740481806
"21788","ENSG00000273374","ENSG00000273374.1",19.9526936185224,1.66212918726249,0.446292955193139,3.72430074891768,0.000195857329235163,0.0958290740481806
